CODIGO;POP2017;CLASSEPOP
1706258;1708;1
1706506;5988;2
1707009;21738;4
1707108;6868;2
1707207;7286;2
1707306;4727;1
1707405;10793;3
1707553;3879;1
1707652;5352;2
1707702;8893;2
1708205;18684;3
1708254;2584;1
1708304;5153;2
1709005;12973;3
1709302;25642;4
1709500;85523;5
1709807;1955;1
1710508;7456;2
1710706;5980;2
1710904;3772;1
1711100;2465;1
1711506;3821;1
1711803;2229;1
1711902;12808;3
1711951;4191;1
1712009;3092;1
1712157;1875;1
1712405;3787;1
1712454;3038;1
1712504;5054;2
1712702;2614;1
1712801;3409;1
1713205;19055;3
1713304;13426;3
1713601;7770;2
1713700;2264;1
1713809;6535;2
1713957;3507;1
1714203;9312;2
1714302;4060;1
1714880;11715;3
1715002;4203;1
1715101;4267;1
1715150;2353;1
1715259;2697;1
1715507;1110;1
1715705;5859;2
1715754;7687;2
1716109;50360;5
1716208;10562;3
1716307;4853;1
1716505;13288;3
1716604;11591;3
1716653;5453;2
1716703;8409;2
1717008;4520;1
1717206;3044;1
1717503;7536;2
1717800;4645;1
1717909;7949;2
1718006;3102;1
1718204;52828;5
1718303;8365;2
1718402;3733;1
1718451;2650;1
1718501;4230;1
1718550;4601;1
1718659;2061;1
1718709;2810;1
1718758;6512;2
1718808;4579;1
1718840;3410;1
1718865;7402;2
1718881;3356;1
1718899;2343;1
1718907;4833;1
1719004;2825;1
1720002;2550;1
1720101;5231;2
1720150;1571;1
1720200;11906;3
1720259;3084;1
1720309;4749;1
1720499;4111;1
1720655;5399;2
1720804;9192;2
1720853;1941;1
1720903;16530;3
1720937;2130;1
1720978;2777;1
1721000;286787;6
1721109;7460;2
1721208;23119;4
1721257;1843;1
1721307;2574;1
1722081;11677;3
1722107;11683;3
2100055;111339;6
2100105;6486;2
2100154;12457;3
2100204;21673;4
2100303;26387;4
2100402;8070;2
2100436;26872;4
2100477;31312;4
2100501;11001;3
2100550;6895;2
2100600;41106;4
2100709;27352;4
2100808;15696;3
2100832;18374;3
2100873;15332;3
2100907;46074;4
2100956;32145;4
2101004;29388;4
2101103;11975;3
2101202;103359;6
2101251;17053;3
2101301;17435;3
2101350;5574;2
2101400;94779;5
2101509;18619;3
2101608;87135;5
2101707;62458;5
2101731;7422;2
2101772;11103;3
2101806;5528;2
2101905;20881;4
2101939;5973;2
2101970;9320;2
2102002;41120;4
2102036;34278;4
2102077;16214;3
2102101;36102;4
2102150;8696;2
2102200;28306;4
2102309;23495;4
2102325;71979;5
2102358;15180;3
2102374;8930;2
2102408;11019;3
2102507;19110;3
2102556;14219;3
2102606;19943;3
2102705;21759;4
2102754;10713;3
2102804;23803;4
2102903;23576;4
2103000;162657;6
2103109;10490;3
2103125;8615;2
2103158;13555;3
2103174;21565;4
2103208;78965;5
2103257;14539;3
2103307;120810;6
2103406;48756;4
2103505;40575;4
2103554;16192;3
2103604;64403;5
2103703;30706;4
2103752;12659;3
2103802;22912;4
2103901;11208;3
2104008;16653;3
2104057;42110;4
2104073;8372;2
2104081;10326;3
2104099;18997;3
2104107;12403;3
2104206;15262;3
2104305;11830;3
2104404;17586;3
2104503;10700;3
2104552;18316;3
2104602;16582;3
2104628;7708;2
2104651;9921;2
2104677;24991;4
2104701;6134;2
2104800;69232;5
2104909;11728;3
2105005;28509;4
2105104;26835;4
2105153;14147;3
2105203;11206;3
2105302;254569;6
2105351;16009;3
2105401;67726;5
2105427;25589;4
2105450;10221;3
2105476;16321;3
2105500;23042;4
2105609;15891;3
2105658;3237;1
2105708;49856;4
2105807;10672;3
2105906;16025;3
2105922;11048;3
2105948;8664;2
2105963;11286;3
2105989;7489;2
2106003;11695;3
2106102;12009;3
2106201;6867;2
2106300;19779;3
2106326;21293;4
2106359;7604;2
2106375;16366;3
2106409;16745;3
2106508;23091;4
2106607;33374;4
2106631;16908;3
2106672;8326;2
2106706;20613;4
2106755;28456;4
2106805;14744;3
2106904;33156;4
2107001;8889;2
2107100;19282;3
2107209;14489;3
2107258;5350;2
2107308;4586;1
2107357;20768;4
2107407;19206;3
2107456;14637;3
2107506;122420;6
2107605;19424;3
2107704;21116;4
2107803;34375;4
2107902;18839;3
2108009;19271;3
2108058;15937;3
2108108;20657;4
2108207;38365;4
2108256;25000;4
2108306;38144;4
2108405;14074;3
2108454;23019;4
2108504;32488;4
2108603;82374;5
2108702;20861;4
2108801;18413;3
2108900;17023;3
2109007;23760;4
2109056;5819;2
2109106;47239;4
2109205;12656;3
2109239;6968;2
2109270;18797;3
2109304;11474;3
2109403;15207;3
2109452;30863;4
2109502;19701;3
2109551;7691;2
2109601;42314;4
2109700;5568;2
2109759;7708;2
2109809;41891;4
2109908;88013;5
2110005;71576;5
2110039;24946;4
2110104;25334;4
2110203;37090;4
2110237;13395;3
2110278;15853;3
2110302;14222;3
2110401;18377;3
2110500;46039;4
2110609;28208;4
2110658;7291;2
2110708;33691;4
2110807;4453;1
2110856;11808;3
2110906;11976;3
2111003;20307;4
2111029;15450;3
2111052;10977;3
2111078;18345;3
2111102;25520;4
2111201;176418;6
2111250;7484;2
2111300;1091868;7
2111409;18247;3
2111508;40992;4
2111532;12511;3
2111573;4601;1
2111607;18680;3
2111631;4946;1
2111672;6704;2
2111706;20913;4
2111722;13949;3
2111748;11042;3
2111763;13877;3
2111789;11040;3
2111805;17851;3
2111904;10416;3
2111953;5571;2
2112001;8455;2
2112100;28635;4
2112209;167619;6
2112233;21749;4
2112274;5746;2
2112308;41342;4
2112407;35063;4
2112456;25533;4
2112506;58605;5
2112605;33038;4
2112704;56511;5
2112803;51738;5
2112852;13480;3
2112902;32267;4
2113009;30879;4
2114007;51084;5
2200053;6966;2
2200103;5062;2
2200202;17119;3
2200251;7526;2
2200277;4838;1
2200301;14070;3
2200400;39864;4
2200459;5326;2
2200509;17322;3
2200608;6684;2
2200707;9705;2
2200806;3114;1
2200905;5748;2
2200954;2511;1
2201002;4656;1
2201051;7717;2
2201101;11503;3
2201150;11375;3
2201176;3889;1
2201200;46291;4
2201309;3294;1
2201408;6925;2
2201507;26421;4
2201556;3947;1
2201572;3503;1
2201606;10037;3
2201705;5413;2
2201739;6106;2
2201770;6663;2
2201804;4428;1
2201903;24711;4
2201919;5535;2
2201929;5577;2
2201945;6300;2
2201960;8192;2
2201988;3823;1
2202000;19464;3
2202026;8108;2
2202059;10406;3
2202075;3497;1
2202083;7510;2
2202091;5684;2
2202109;5522;2
2202117;4957;1
2202133;5842;2
2202174;7154;2
2202208;46082;4
2202251;3892;1
2202307;20831;4
2202406;11229;3
2202455;4033;1
2202505;10729;3
2202539;5769;2
2202554;4982;1
2202604;19410;3
2202653;5330;2
2202703;27338;4
2202711;4812;1
2202729;6054;2
2202737;3953;1
2202752;6372;2
2202778;7536;2
2202802;4726;1
2202851;4608;1
2202901;26205;4
2203008;8154;2
2203107;10253;3
2203206;11190;3
2203230;4871;1
2203255;4367;1
2203271;5251;2
2203305;13595;3
2203354;6896;2
2203404;6790;2
2203420;4287;1
2203453;9404;2
2203503;14383;3
2203602;4834;1
2203701;39078;4
2203750;5220;2
2203800;4393;1
2203859;2518;1
2203909;58969;5
2204006;5264;2
2204105;4288;1
2204154;3128;1
2204204;9154;2
2204303;11432;3
2204352;5352;2
2204402;10522;3
2204501;10335;3
2204550;4489;1
2204600;3816;1
2204659;9268;2
2204709;15065;3
2204808;9649;2
2204907;8428;2
2205003;11343;3
2205102;10845;3
2205151;5656;2
2205201;18782;3
2205250;4430;1
2205276;4786;1
2205300;4384;1
2205359;2961;1
2205409;14123;3
2205458;5350;2
2205508;38550;4
2205516;5391;2
2205524;5534;2
2205532;4683;1
2205540;2796;1
2205557;8395;2
2205565;4582;1
2205573;6646;2
2205581;3996;1
2205599;5087;2
2205607;5217;2
2205706;29792;4
2205805;25082;4
2205854;8170;2
2205904;5266;2
2205953;8342;2
2206001;4478;1
2206050;6338;2
2206100;10759;3
2206209;33209;4
2206308;1228;1
2206357;6511;2
2206407;10409;3
2206506;7621;2
2206605;10448;3
2206654;4066;1
2206670;6684;2
2206696;8997;2
2206704;7231;2
