CODIGO;UF;1.1.1.a;1.1.1.b;1.1.1.c;1.1.1.d;1.1.1.e;1.1.1.f;1.1.1.g;1.1.1.h;1.1.1.i;1.1.1.j;1.1.1.k;1.1.1.l;1.2.1.a;1.2.1.b;1.2.1.c;1.2.1.d;1.2.1.e;1.2.1.f;1.2.1.g;1.2.1.h;1.2.1.i;1.2.2.a;1.2.2.b;1.2.2.c;1.2.2.d;1.2.2.e;1.2.2.f;1.2.2.g;1.2.2.h;1.2.2.i;1.2.2.j;1.2.2.k;1.2.2.l;1.3.1.a;1.3.1.b;1.3.1.c;1.3.1.d;1.4.1.A;1.4.1.B;1.4.1.C;1.4.1.D;1.4.1.E;1.4.1.F;1.4.1.G;1.4.1.H;1.4.1.Ced;1.4.1.Ded;1.4.1.Eed;1.4.1.Fed;1.4.1.Ged;1.4.1.Hed; 1.4.2; 1.4.3; 1.4.4;1.5.1.A.a;1.5.1.A.b;1.5.1.A.d;1.6.1.F;1.7.1.A;2.3.1.A; 2.5.1; 2.6.1; 3.1.1.A ; 3.1.1.B ;3.1.1.C;3.1.2;3.1.2.a;3.1.2.b;3.1.2.c;3.1.2.d;3.1.2.e;3.1.2.f;3.1.2.g;3.1.2.h;3.1.2.i;3.1.2.j;3.1.2.k;3.1.2.l;3.1.3.a;3.1.3.b;3.1.3.c;3.1.3.d;3.1.3.e;3.4.1.A.a;3.4.1.A.b;3.4.1.A.c;3.4.1.A.d;3.4.1.A.e;3.4.1.A.f;3.5.1.A;3.5.1.B;3.5.1.C;3.5.1.D;3.5.1.E;3.7.1;4.1.1;4.1.1.A;4.2.1;4.3.1;4.3.2;4.4.1;4.4.2.a;4.4.2.b;4.4.2.c;4.4.2.d;4.4.2.e;4.5.1;4.5.2;4.6.1.a;4.6.1.b;4.6.1.c;4.6.1.d;4.6.2.a;4.6.2.b;4.6.2.c;4.6.2.d;4.6.2.e;4.7.1.A;4.7.1.B;4.7.1.C;4.7.1.D;4.7.1.E;4.7.1.F;4.7.1.G;4.7.1.H;4.7.1.I;4.7.1.J;4.7.1.K;4.7.1.L;4.8.1;6.1.1.A;6.1.1.B;6.1.1.C;6.1.1.D;6.1.1.E;6.1.1.F;6.1.1.G;6.2.1.A;6.2.1.B;6.2.1.C;6.2.1.D;6.2.1.E;6.2.1.F;6.3.1;7.3.1.a;7.3.1.b;7.3.1.c;7.3.1.d;7.3.1.e;8.1.1;8.1.2;8.2.1;8.3.1;8.4.1.a;8.4.1.b;8.4.1.c;8.4.1.d;8.4.1.e;9.1.1.A;9.1.1.B;9.1.1.C;9.1.1.D;9.1.1.E;9.1.2;9.1.3; 9.1.4 ;10.1.1.a;10.1.1.b;10.1.1.c;10.1.1.d;10.1.1.e;10.1.1.f;11.1.1.a;11.1.1.b;11.1.2.a;11.1.2.b;11.1.2.c;11.2.1;11.4.1;11.4.2.a;11.4.2.b;11.4.2.c;11.4.2.d;11.4.2.e;12.1.1;13.1.1.A;13.1.1.B;13.1.1.C;13.1.1.D;13.1.1.E;13.1.1.F;13.1.1.G
3550308;SP;1;;1;;;;;1;;;;;1;1;1;1;;;1;;;;;;;;;;;;;;1;1;1;1;;67;145;30;130;;;64;145;0.4;0.9;0.0;0.0;1.0;1.0;20145;6645;Sim;8801;;5062;529;830936385;5.2;Sim;Sim;4.3;4;2019;Sim;;;;;;;;1;;;;;1;1;;1;;797124896;531526688;44958021;772969773;652336244;1251550222;0.00;1.00;1.00;;;Sim;Sim;2014;Sim;Sim;Sim;Sim;1;;1;;;2015;3;;1;1;1;1;1;1;;1;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Sim;Sim;Sim;;1;;;;Sim;Sim;1;Sim;;1;1;1;1;Sim;Sim;Sim;Nao;Sim;;893;;;1;1;;;1;1;;1;;;Sim;Nao;;;;;;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim
3551009;SP;;;1;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;;1;1;8;1;8;1;8;0;0;1.0;1.0;1.0;1.0;0.0;0.0;358;65;Nao;150;150;150;0;;7;Nao;;3;2.7;2013;Nao;;;;;;;;;;;;;;;;;1;;;;;;;0.00;1.00;1.00;0.50;0.50;Nao;Sim;2018;Sim;Sim;Sim;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Sim;1;;;;;Nao;Nao;NA;Nao;1;;;;;Nao;Nao;Sim;Sim;Nao;82;5;7129187.4;;1;;;;;;1;;;;NA;Nao;;;;;;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Nao
3552403;SP;1;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;1;2;0;1;0;1;0;0;0;0.5;0.0;0.5;0.0;0.0;0.0;483;143;Nao;55;60;43;0;280783;9.8;Nao;Sim;3.2;2.8;2016;Nao;;;;;;;;;;;;;;;;;1;1776444;1322220;24564;0;401796;;0.00;1.00;1.00;0.50;0.50;Sim;Sim;2010;Sim;Nao;Nao;Sim;;;;;1;2018;2;;;1;;1;1;1;;;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;Nao;Nao;1;;;;;Nao;Nao;NA;Sim;;;;1;;Nao;Sim;Sim;Nao;Nao;16;7;;;1;;;;;1;;1;1;;Sim;Sim;;;;;1;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao
3552502;SP;1;;1;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;1;1;;1;;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;714;316;Nao;120;;120;0.3;;7;Nao;Nao;4.4;4.2;2019;Sim;;;;;;;;;;;1;;1;;;1;;;;;;;;0.00;1.00;1.00;0.50;0.50;Nao;Sim;2017;Sim;Nao;Sim;Sim;;;;;1;2019;2;;1;1;;1;1;;;1;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;;1;;1;;Sim;Sim;1 e 2;Sim;;1;;1;1;Nao;Sim;Sim;Nao;Sim;30;10;14166455.48;;1;;;;;1;;1;1;;Sim;Sim;;;;;1;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao
3552809;SP;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;5;0;110;0;;0;;0;22.0;0.0;0.0;0.0;0.0;0.0;325;110;Nao;124;37;124;0;6825969;5.92;Nao;Nao;3.8;3;2017;Nao;;;;;;;;;;;;;;;;;1;13093865;;749322;;929553;;0.00;0.00;1.00;0.50;0.50;Sim;Sim;2018;Sim;Nao;Nao;Sim;;;;;1;2019;3;;;1;;1;1;1;;1;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Nao;Nao;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;1;;;;;Nao;Sim;;Sim;;1;;1;;Sim;Sim;Sim;Sim;Sim;86;25;12000000;;;1;;;;1;;1;;;Sim;Nao;;;;;;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao
4106902;PR;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;21;0;21;0;0;0;21;0;1.0;0.0;0.0;0.0;1.0;0.0;6914;5385;Sim;1017;85;;8.37;88486580;7.47;Sim;Sim;4.5;4.25;2019;Sim;;;;;;;;;1;;;;1;;;1;;71469100;102774656;3503980;761278;27573101;176876506;0.00;1.00;1.00;0.50;0.50;Sim;Sim;2015;Sim;Nao;Nao;Sim;1;1;1;1;;2008;3;;1;1;1;;1;1;;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Nao;Nao;Sim;Sim;Sim;;1;;;;Sim;Sim;1;Sim;;1;1;1;1;Sim;Sim;Sim;Sim;Sim;656;667;111064627.6;;;;;;1;1;;1;;;Sim;Nao;;;;;;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao
4108304;PR;1;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;2;0;2;0;0;0;2;0;1.0;0.0;0.0;0.0;1.0;0.0;1318;1248;Sim;132;90;132;0.2;10798236;3.78;Nao;Nao;3.75;3.55;2018;Sim;1;;;;;;;;;;;;1;;;1;;6406494;7386379;808778;87532;2737022;14340944;0.00;1.00;1.00;0.50;0.50;Sim;Sim;2011;Sim;Nao;Nao;Sim;;;;;1;2018;3;;1;1;;1;1;1;;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Sim;Sim;Sim;Sim;Nao;Nao;Sim;Sim;Nao;Sim;Sim;Sim;1;;;;;Sim;Sim;2;Sim;;1;1;1;1;Sim;Sim;Sim;Sim;Nao;163;25;9783457.88;;;;;;1;1;;1;;;Sim;Nao;;;;;;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao
4113700;PR;1;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;9;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;2600;2500;Nao;309;71;15;16;1700;6.5;Sim;Nao;4.25;3.9;2019;Sim;;;;;;;;;;;;;1;;;1;;210918;368878;95251;28954;30526;612128;0.00;1.00;1.00;1.00;0.50;Sim;Sim;2018;Sim;Nao;Nao;Sim;1;;1;;;2019;1;;1;1;1;1;1;1;;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Nao;Sim;Sim;Nao;Sim;;;;;;Sim;Sim;1;Sim;;1;;1;1;Sim;Sim;Sim;Nao;Nao;38;22;19500000;;;;;1;1;1;;1;;;Sim;Nao;;;;;;Nao;Sim;Sim;Nao;Nao;Nao;Nao;Nao
4115200;PR;1;;1;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;1;0;1;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;2441;1667;Nao;267;80;267;;1261043;5.2;Nao;Nao;4.3;3.9;2019;Sim;1;;;;;;;;;;;;1;;;;;1094785;;450898;49405;491043;1665111;0.00;0.00;1.00;1.00;1.00;Sim;Sim;2006;Sim;Nao;Nao;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;Nao;Nao;Nao;Sim;Sim;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Sim;1;;;;;Nao;Sim;1 e 2;Sim;1;;;;;Sim;Nao;Sim;Nao;Nao;78;40;26332341.32;;;1;;;;1;;1;;;Sim;Sim;;1;;1;;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao
4202404;SC;1;;1;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;6;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;2630;1573;Sim;214;80;;;15367429;2;Sim;Sim;4.2;4.05;2018;Nao;;;;;;;;;;;;;;;;;1;8938816;11551894;4093221;;959461;22537320;0.00;0.00;1.00;0.50;0.50;Sim;Sim;2018;Sim;Nao;Nao;Sim;;;;;1;2018;3;;1;1;1;1;1;1;;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Nao;Sim;Sim;Nao;Nao;Nao;Sim;Nao;Sim;Sim;Nao;Sim;1;;;;;Nao;Sim;2;Sim;;1;;;;Sim;Sim;Sim;Nao;Nao;119;24;22205282.98;;1;;;;;1;;1;;;Sim;Sim;;;;;1;Nao;Sim;Sim;Sim;Nao;Nao;Nao;Nao
