CODIGO;UF;1.1.1.a;1.1.1.b;1.1.1.c;1.1.1.d;1.1.1.e;1.1.1.f;1.1.1.g;1.1.1.h;1.1.1.i;1.1.1.j;1.1.1.k;1.1.1.l;1.2.1.a;1.2.1.b;1.2.1.c;1.2.1.d;1.2.1.e;1.2.1.f;1.2.1.g;1.2.1.h;1.2.1.i;1.2.2.a;1.2.2.b;1.2.2.c;1.2.2.d;1.2.2.e;1.2.2.f;1.2.2.g;1.2.2.h;1.2.2.i;1.2.2.j;1.2.2.k;1.2.2.l;1.3.1.a;1.3.1.b;1.3.1.c;1.3.1.d;1.4.1.A;1.4.1.B;1.4.1.C;1.4.1.D;1.4.1.E;1.4.1.F;1.4.1.G;1.4.1.H;1.4.1.Ced;1.4.1.Ded;1.4.1.Eed;1.4.1.Fed;1.4.1.Ged;1.4.1.Hed; 1.4.2; 1.4.3; 1.4.4;1.5.1.A.a;1.5.1.A.b;1.5.1.A.d;1.6.1.F;1.7.1.A;2.3.1.A; 2.5.1; 2.6.1; 3.1.1.A ; 3.1.1.B ;3.1.1.C;3.1.2;3.1.2.a;3.1.2.b;3.1.2.c;3.1.2.d;3.1.2.e;3.1.2.f;3.1.2.g;3.1.2.h;3.1.2.i;3.1.2.j;3.1.2.k;3.1.2.l;3.1.3.a;3.1.3.b;3.1.3.c;3.1.3.d;3.1.3.e;3.4.1.A.a;3.4.1.A.b;3.4.1.A.c;3.4.1.A.d;3.4.1.A.e;3.4.1.A.f;3.5.1.A;3.5.1.B;3.5.1.C;3.5.1.D;3.5.1.E;3.7.1;4.1.1;4.1.1.A;4.2.1;4.3.1;4.3.2;4.4.1;4.4.2.a;4.4.2.b;4.4.2.c;4.4.2.d;4.4.2.e;4.5.1;4.5.2;4.6.1.a;4.6.1.b;4.6.1.c;4.6.1.d;4.6.2.a;4.6.2.b;4.6.2.c;4.6.2.d;4.6.2.e;4.7.1.A;4.7.1.B;4.7.1.C;4.7.1.D;4.7.1.E;4.7.1.F;4.7.1.G;4.7.1.H;4.7.1.I;4.7.1.J;4.7.1.K;4.7.1.L;4.8.1;6.1.1.A;6.1.1.B;6.1.1.C;6.1.1.D;6.1.1.E;6.1.1.F;6.1.1.G;6.2.1.A;6.2.1.B;6.2.1.C;6.2.1.D;6.2.1.E;6.2.1.F;6.3.1;7.3.1.a;7.3.1.b;7.3.1.c;7.3.1.d;7.3.1.e;8.1.1;8.1.2;8.2.1;8.3.1;8.4.1.a;8.4.1.b;8.4.1.c;8.4.1.d;8.4.1.e;9.1.1.A;9.1.1.B;9.1.1.C;9.1.1.D;9.1.1.E;9.1.2;9.1.3; 9.1.4 ;10.1.1.a;10.1.1.b;10.1.1.c;10.1.1.d;10.1.1.e;10.1.1.f;11.1.1.a;11.1.1.b;11.1.2.a;11.1.2.b;11.1.2.c;11.2.1;11.4.1;11.4.2.a;11.4.2.b;11.4.2.c;11.4.2.d;11.4.2.e;12.1.1;13.1.1.A;13.1.1.B;13.1.1.C;13.1.1.D;13.1.1.E;13.1.1.F;13.1.1.G
4205407;SC;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;;1;1;1;1;1;1;1;1;1;1;7;0;7;0;6;0;6;0;1.0;0.0;0.9;0.0;0.9;0.0;2550;1122;Sim;520;80;385;0;34238626.45;5.81;Nao;Sim;4.4;4.2;2019;Sim;;;;;;;;;;;;;1;1;1;1;1;23521063;20380655;12571598;3620481;4147147;48650175;0.44;1.00;1.00;0.50;0.50;Sim;Sim;2014;;Sim;Nao;Sim;1;1;1;1;1;2015;;1;1;1;1;1;1;1;1;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;"Sim; não";1;1;1;1;1;Sim;Sim;1 e 2;"Sim; Nao";;1;1;1;1;Sim;Sim;Sim;Sim;Sim;;;;1;1;1;1;1;1;1;1;1;1;1;Sim;"Sim; não";1;1;1;1;1;"Sim; Nao";Sim;Sim;Sim;Sim;Sim;Sim;Nao
4304606;RS;1;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;6;6;;6;;6;6;6;0.0;1.0;0.0;1.0;1.0;1.0;1541;1259;Sim;138;45;70;0.6;8826860;7.33;Nao;;4.6;4.2;2019;Sim;;;;;;;;;;;;;1;;;;;5181520;6268484;1663474;870816;3040369;12264158;0.00;1.00;1.00;0.50;0.50;Sim;Sim;2015;Sim;Nao;Nao;Nao;1;;1;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;Sim;Nao;Nao;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;1;;;;;Sim;Sim;1;Nao;;1;;1;;Sim;Sim;Nao;Nao;Nao;53;3;5490775.98;;1;;;;;1;;1;;;Sim;Nao;;;;;;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao
4305108;RS;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1;;55;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0.0;0.0;3000;1500;Nao;286;75;260;13.16;20909053;6;Nao;Nao;4.25;3.95;2019;Sim;1;;;;;;;;;;;;1;1;;1;;11827666;15987694;4501035;2015387;9826831;30114929;0.00;1.00;1.00;0.50;0.50;Sim;Sim;2019;Sim;Nao;Nao;Nao;;;;;1;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Sim;Sim;Sim;;1;1;;;Sim;Sim;1;Sim;1;;;;;Nao;Nao;Nao;Nao;Nao;73;1;8371380.82;;1;;;;;1;;1;;;Sim;Nao;;;;;;Sim;Sim;Nao;Nao;Nao;Nao;Nao;
4309209;RS;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;;0;;0;;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;1161;;Sim;81;43;74;;4074999;7;Sim;Sim;4.8;4.4;2019;Nao;;;;;;;;;;;;;1;;;;;3833086;2114828;593444;268126;531005;4511913;0.00;1.00;1.00;1.00;0.52;;Sim;1997;Sim;Nao;;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Sim;Nao;Nao;1;;;;;Sim;Sim;1;Sim;1;;;;;Sim;Sim;Sim;Nao;Sim;27;2;2056201.96;;;1;;;;1;;1;;;Sim;Nao;;;;;;Nao;Sim;Sim;Sim;Sim;Nao;Nao;Nao
4314407;RS;1;;1;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;1;0;0;0;0;;0;;0.0;0.0;0.0;0.0;0.0;0.0;1618;731;Sim;210;48;187;16.3;13631788.14;5.19;Sim;Sim;3.7;3.35;2018;Sim;1;;;;;;;;;;;;1;;;;;10219722;11095250;4320466;2234181;4677960;23724996;0.00;0.00;1.00;0.60;0.60;Sim;Sim;2018;Nao;Nao;Nao;Sim;;;;;1;2019;3;;1;1;1;1;1;1;;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Nao;1;;;;;Sim;Nao;;Sim;;1;;;;Nao;Sim;Sim;Nao;Nao;95;1;1750000;;1;;;;;1;;1;;;Sim;Sim;;;;;1;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim
4314902;RS;1;;1;;;;;1;;;;;1;;;1;1;;;1;;;;;;;;;;;;;1;1;;;;8;6;6;3;0;0;8;6;0.8;0.5;0.0;0.0;1.0;1.0;5708;4331;Sim;1446;75;1129;15.1;104853464.6;8;Sim;Nao;4.7;4.3;2019;Sim;;;;;;;;;;;;;1;;;;;66087640;80626411;21944752;22431516;56583949;170268557;0.00;1.00;1.00;0.50;0.50;Sim;Sim;2010;Sim;Nao;Nao;Sim;1;1;1;;;2019;1;;1;;1;1;1;1;;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Sim;Sim;Nao;Sim;Sim;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Nao;;1;1;;;Sim;Sim;1;Sim;;;1;1;1;Sim;Sim;Sim;Nao;Sim;503;;70411625.93;;1;1;;;1;1;;1;;;Sim;Nao;;;;;;Nao;Sim;Sim;Sim;Sim;Sim;Sim;
4316907;RS;1;;1;1;;;;;;;;;1;;;;;;;;;1;1;1;1;;;;;;;;;;;;1;1;0;1;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;1700;495;Nao;240;90;165;480;12374688;10.9;Nao;Nao;4.2;3.9;2019;Nao;;;;;;;;;;;;;1;;;;;9891;8620912;4639338;;6080000;;0.00;1.00;1.00;0.50;0.50;Sim;Sim;2015;Sim;Nao;;Sim;;;;;;2015;2;;;1;;1;1;1;;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Sim;;;;;;;;;;;;;;Nao;;;;;;Sim;Sim;1;Nao;1;;;;;Nao;Nao;Nao;Nao;Sim;35;;;;1;;;;;1;;1;;;Nao;Sim;;;;1;1;Nao;Sim;Sim;Nao;Nao;Nao;Nao;Nao
5002704;MS;1;;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;1;;0;;0;;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;4522;1792;Sim;318;195;;6.9;35247927;6.71;Nao;Sim;3.95;;;Nao;;;;;;;;;;;;;1;;;;;25687580;20555505;6652520;4232291;19063529;46243085;0.00;0.00;1.00;1.00;1.00;;Sim;2018;Sim;Nao;;Sim;;;;;1;2015;3;;;1;;;;;;;Sim;Sim;Sim;Sim;Sim;Sim;sim;Sim;Nao;Nao;Sim;Nao;;;;;;;;;Sim;Sim;;Sim;Sim;Sim;;;;;;;;;;;;;;;;;;;;;;77;;1;;;;;;1;;1;;;Sim;;;;;;;;Sim;Sim;Sim;Nao;Nao;Nao;Nao
5103403;MT;1;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;5;0;4;0;2;0;3;0;0.8;0.0;0.4;0.0;0.6;0.0;2230;780;Sim;368;70;368;17;26574801.42;7.41;Sim;;4.1;3.85;;Nao;;;;;;;;;;;;;1;;1;;;21305608;14506625;10864986;13461375;9069449;41244626;0.00;1.00;0.00;1.00;1.00;Nao;Sim;2007;Sim;Nao;Sim;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;1;;;;Sim;Sim;2;Sim;;1;;;;;;;;;;;;;1;;;;;1;;1;;;Sim;Nao;;;;;;Sim;Sim;Sim;Nao;Nao;Nao;Sim;Nao
5201108;GO;1;;1;1;;;;;;;;;;;;;;;;;1;1;;1;1;;;;;;;;;;;;1;1;0;1;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;1700;700;Sim;190;13870;190;1;10347503.04;5;Nao;Sim;3.7;3.2;2018;Nao;;;;;;;;;;;;;1;;;;;0.228;0.178;0.221;0.005;0.368;0.469;0.00;1.00;1.00;1.00;0.50;Nao;Sim;2019;Sim;Nao;Nao;Sim;1;1;1;1;;;2;;1;1;1;;;;;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Sim;Nao;Nao;Sim;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Nao;1;;;;;Sim;Sim;1;Sim;;;;1;;;;;;;38;;;;;;;;1;1;;1;;;Sim;Nao;;;;;;Sim;Sim;Nao;Sim;Nao;Nao;Nao;Nao
5201405;GO;1;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1;;6;0;6;0;6;0;6;0;1.0;0.0;1.0;0.0;1.0;0.0;1419;673;Sim;346;95;;;1682574.14;7.5;;Sim;4.3;4;2019;Nao;;;;;;;;;;;;;1;;;;;39434187;;;;13150810;;0.00;0.00;0.00;1.00;;Sim;Sim;2016;Sim;Nao;Sim ;Nao;;;;;1;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Nao;Sim;Sim;Sim;Sim;Sim;Sim;1;;;;;Nao;Nao;;Sim;;;1;1;1;Sim;Sim;Sim;Nao;Nao;40;21;16927330.12;;1;;;;;1;;1;;;Sim;Nao;;;;;;Nao;Sim;Sim;Sim;Sim;Sim;Nao;Nao
5208707;GO;1;;1;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;21;0;21;0;21;0;21;0;1.0;0.0;1.0;0.0;1.0;0.0;6600;3130;;1237;95;;15.4;5931397.37;7;Nao;Sim;4.3;4;2019;Nao;;;;;;;;;;;;;1;;;;;125386003;;;;20526701;;0.00;0.00;0.00;1.00;0.50;Sim;Sim;2013;Sim;Nao;;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sim;;;;Sim;;;;;;;;;;;;1;1;1;;Sim;Sim;1;Sim;;;1;1;;Sim;Sim;Sim;Nao;Nao;;237;58703923.16;;;1;;;;1;;1;;;Sim;Sim;;;;;1;;Sim;Sim;Nao;Sim;Sim;Nao;Nao
5300108;DF;1;;1;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;32;25;12;25;9;25;3;25;0.4;1.0;0.3;1.0;0.1;1.0;5533;3621;Sim;2178;83;2178;57.7;163552899;5.39;Nao;Nao;5;4;2017;Sim;;;;;;;;;;;;;1;;;;;154781614;58367301;68406877;47943218;21851943;;;;;;;Sim;Sim;;Sim;Sim;;Sim;1;;1;1;;2014;2;;;1;;1;1;1;;1;Sim;Nao;Nao;Nao;Sim;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Nao;Nao;Sim;Sim;Nao;Nao;Sim;Nao;Sim;;;;;;;;;;;;;;;Nao;Nao;Sim;Nao;Sim;;;;;;1;;;;1;;1;;;Sim;Sim;1;;;1;;Nao;Sim;Sim;Nao;Nao;Nao;Nao;Nao
